importer_iso3,canal,RP_ic
LCA,Gibraltar Strait,NA
LCA,Malacca Strait,NA
LCA,Panama Canal,NA
LCA,Strait of Hormuz,NA
LCA,Suez Canal,NA
LCA,Taiwan Strait,NA
LKA,Gibraltar Strait,72.70219938603589
LKA,Malacca Strait,164.17168296056218
LKA,Panama Canal,1.6666218888273803
LKA,Strait of Hormuz,148.70951575445855
LKA,Suez Canal,163.3676047844565
LKA,Taiwan Strait,64.48944844132808
LTU,Gibraltar Strait,6.720151302565213
LTU,Malacca Strait,0.4343865943598738
LTU,Panama Canal,0.4731943423454307
LTU,Strait of Hormuz,0.24011661765483502
LTU,Suez Canal,2.7816108689695915
LTU,Taiwan Strait,0.22737132101835655
LVA,Gibraltar Strait,3.19482159563894
LVA,Malacca Strait,0.3952238912490582
LVA,Panama Canal,0.07295280912419626
LVA,Strait of Hormuz,0.10147472768533197
LVA,Suez Canal,1.947567256001203
LVA,Taiwan Strait,0.2861036085003787
MAC,Gibraltar Strait,NA
MAC,Malacca Strait,NA
MAC,Panama Canal,NA
MAC,Strait of Hormuz,NA
MAC,Suez Canal,NA
MAC,Taiwan Strait,NA
MAR,Gibraltar Strait,NA
MAR,Malacca Strait,NA
MAR,Panama Canal,NA
MAR,Strait of Hormuz,NA
MAR,Suez Canal,NA
MAR,Taiwan Strait,NA
MDA,Gibraltar Strait,NA
MDA,Malacca Strait,NA
MDA,Panama Canal,NA
MDA,Strait of Hormuz,NA
MDA,Suez Canal,NA
MDA,Taiwan Strait,NA
MDG,Gibraltar Strait,NA
MDG,Malacca Strait,NA
MDG,Panama Canal,NA
MDG,Strait of Hormuz,NA
MDG,Suez Canal,NA
MDG,Taiwan Strait,NA
MDV,Gibraltar Strait,NA
MDV,Malacca Strait,NA
MDV,Panama Canal,NA
MDV,Strait of Hormuz,NA
MDV,Suez Canal,NA
MDV,Taiwan Strait,NA
MEX,Gibraltar Strait,0
MEX,Malacca Strait,0
MEX,Panama Canal,0
MEX,Strait of Hormuz,0
MEX,Suez Canal,0
MEX,Taiwan Strait,0
MHL,Gibraltar Strait,NA
MHL,Malacca Strait,NA
MHL,Panama Canal,NA
MHL,Strait of Hormuz,NA
MHL,Suez Canal,NA
MHL,Taiwan Strait,NA
MKD,Gibraltar Strait,NA
MKD,Malacca Strait,NA
MKD,Panama Canal,NA
MKD,Strait of Hormuz,NA
MKD,Suez Canal,NA
MKD,Taiwan Strait,NA
MLI,Gibraltar Strait,NA
MLI,Malacca Strait,NA
MLI,Panama Canal,NA
MLI,Strait of Hormuz,NA
MLI,Suez Canal,NA
MLI,Taiwan Strait,NA
MLT,Gibraltar Strait,NA
MLT,Malacca Strait,NA
MLT,Panama Canal,NA
MLT,Strait of Hormuz,NA
MLT,Suez Canal,NA
MLT,Taiwan Strait,NA
MMR,Gibraltar Strait,NA
MMR,Malacca Strait,NA
MMR,Panama Canal,NA
MMR,Strait of Hormuz,NA
MMR,Suez Canal,NA
MMR,Taiwan Strait,NA
MNE,Gibraltar Strait,NA
MNE,Malacca Strait,NA
MNE,Panama Canal,NA
MNE,Strait of Hormuz,NA
MNE,Suez Canal,NA
MNE,Taiwan Strait,NA
MNG,Gibraltar Strait,NA
MNG,Malacca Strait,NA
MNG,Panama Canal,NA
MNG,Strait of Hormuz,NA
MNG,Suez Canal,NA
MNG,Taiwan Strait,NA
MNP,Gibraltar Strait,NA
MNP,Malacca Strait,NA
MNP,Panama Canal,NA
MNP,Strait of Hormuz,NA
MNP,Suez Canal,NA
MNP,Taiwan Strait,NA
MOZ,Gibraltar Strait,NA
MOZ,Malacca Strait,NA
MOZ,Panama Canal,NA
MOZ,Strait of Hormuz,NA
MOZ,Suez Canal,NA
MOZ,Taiwan Strait,NA
MRT,Gibraltar Strait,NA
MRT,Malacca Strait,NA
MRT,Panama Canal,NA
MRT,Strait of Hormuz,NA
MRT,Suez Canal,NA
MRT,Taiwan Strait,NA
MSR,Gibraltar Strait,NA
MSR,Malacca Strait,NA
MSR,Panama Canal,NA
MSR,Strait of Hormuz,NA
MSR,Suez Canal,NA
MSR,Taiwan Strait,NA
MUS,Gibraltar Strait,NA
MUS,Malacca Strait,NA
MUS,Panama Canal,NA
MUS,Strait of Hormuz,NA
MUS,Suez Canal,NA
MUS,Taiwan Strait,NA
MWI,Gibraltar Strait,NA
MWI,Malacca Strait,NA
MWI,Panama Canal,NA
MWI,Strait of Hormuz,NA
MWI,Suez Canal,NA
MWI,Taiwan Strait,NA
MYS,Gibraltar Strait,21.986088465406663
MYS,Malacca Strait,84.4355232695202
MYS,Panama Canal,1.8478385318572041
MYS,Strait of Hormuz,20.898072037455634
MYS,Suez Canal,36.68785799677258
MYS,Taiwan Strait,36.34256343970278
NCL,Gibraltar Strait,NA
NCL,Malacca Strait,NA
NCL,Panama Canal,NA
NCL,Strait of Hormuz,NA
NCL,Suez Canal,NA
NCL,Taiwan Strait,NA
NER,Gibraltar Strait,NA
