iso3,canal,q,v,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,revenue_USD
GUY,Korea Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,593413.586396575,365236150.22041285,53680.90400815375,539732.6823884213,127443354.33631036,237792795.88410252,12.400106810012938,0.0
GUY,Lombok Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,149.99452019693092,434011.821211967,145.67431273538696,4.320207461543967,432647.5678145434,1364.253397423574,8.12265145800382,0.0
GUY,Luzon Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,158515.29302985896,223062209.29101077,56749.7700118384,101765.52301802055,178011229.90723512,45050979.38377565,1.4136315880596664,0.0
GUY,Magellan Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,33271.87670370495,10739609.832220681,788.7787298954291,32483.09797380952,1129777.283896249,9609832.548324432,0.9352021965435611,0.0
GUY,Makassar Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,610.7349283869083,1374111.9838726632,606.4212288683416,4.313699518566746,1372665.4123578807,1446.571514782458,8.897180214258098,0.0
GUY,Malacca Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,202289.59689387196,136545467.183839,16652.076832372222,185637.52006149973,51258287.4066781,85287179.7771609,23.00941665945064,0.0
GUY,Mona Passage,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,1369267.1685663287,985434605.5821108,270093.73277128924,1099173.4357950394,253105922.4707133,732328683.1113975,1.564083260487246,0.0
GUY,Ombai Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,22.45428349215776,28627.00924747508,22.45428349215776,0.0,28627.00924747508,0.0,0.05166216352982437,0.0
GUY,Oresund Strait,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,300254.347148569,128218122.94785047,92935.90587402596,207318.44127454303,20442554.595480736,107775568.35236973,3.1747749928181026,0.0
GUY,Panama Canal,16492332.614603382,11146774939.575134,16304820.650671385,10378491092.878168,1666897.4008828455,2215527611.561351,14637923.24978854,8162963481.316817,1866765.529948317,1542187916.2215712,252131.038387294,1614634.491561023,700658251.2496686,841529664.9719026,6.157253704042887,0.0
